               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.032316,           0.0079651,           0.0047902,               0.945,                   1,             0.99423,             0.72379,            0.028022,           0.0044976,            0.003774,           0.0083566,           0.0083566,           0.0083566
                  85,            0.041114,           0.0088145,           0.0049588,             0.88558,                0.98,             0.98581,             0.51056,            0.037284,           0.0049764,           0.0038311,           0.0083368,           0.0083368,           0.0083368
                  86,            0.042857,           0.0080766,           0.0044667,             0.99401,                   1,               0.995,             0.62438,            0.027375,           0.0044608,           0.0038648,            0.008317,            0.008317,            0.008317
                  87,            0.033746,           0.0093547,           0.0045167,             0.96442,              0.9904,             0.99346,             0.53193,            0.032708,            0.004939,            0.003698,           0.0082972,           0.0082972,           0.0082972
                  88,            0.040459,           0.0085721,            0.004038,             0.80466,             0.98544,             0.98557,             0.78731,            0.026248,           0.0045331,           0.0037324,           0.0082774,           0.0082774,           0.0082774
                  89,            0.033536,           0.0089684,           0.0060227,             0.83697,             0.99631,               0.965,             0.52627,            0.029022,           0.0046051,           0.0036701,           0.0082576,           0.0082576,           0.0082576
                  90,            0.032367,           0.0087495,           0.0044537,               0.953,             0.98727,               0.995,             0.68273,            0.029613,           0.0044027,           0.0037357,           0.0082378,           0.0082378,           0.0082378
                  91,            0.036923,           0.0084572,           0.0045254,             0.92123,             0.96321,             0.99167,             0.71103,            0.028873,           0.0044527,           0.0037963,            0.008218,            0.008218,            0.008218
                  92,             0.03496,            0.010089,           0.0044704,             0.80007,             0.95927,             0.95056,             0.60492,             0.03027,           0.0044999,           0.0037387,           0.0081982,           0.0081982,           0.0081982
                  93,            0.036193,           0.0078879,           0.0041833,             0.86729,                   1,             0.97641,             0.68818,            0.025224,           0.0044755,           0.0039818,           0.0081784,           0.0081784,           0.0081784
                  94,            0.034393,           0.0095786,           0.0047141,             0.81224,             0.95903,              0.9842,             0.69303,            0.030099,           0.0044205,           0.0038689,           0.0081586,           0.0081586,           0.0081586
                  95,            0.034763,           0.0092434,           0.0049513,             0.97954,             0.98788,             0.99423,             0.80679,            0.023011,           0.0042882,            0.003909,           0.0081388,           0.0081388,           0.0081388
                  96,            0.032832,            0.010733,           0.0046639,             0.81626,             0.98926,             0.98059,             0.53779,            0.032175,           0.0045722,           0.0036489,            0.008119,            0.008119,            0.008119
                  97,            0.038458,           0.0079464,           0.0043569,             0.84269,             0.98883,             0.98173,             0.71973,            0.028383,           0.0045544,           0.0037588,           0.0080992,           0.0080992,           0.0080992
                  98,            0.037967,           0.0091791,           0.0041456,             0.77305,                0.98,             0.95339,             0.54602,            0.025515,            0.004569,           0.0039045,           0.0080794,           0.0080794,           0.0080794
                  99,            0.031235,           0.0087903,           0.0044963,             0.89635,             0.98737,             0.99346,             0.68484,            0.029587,           0.0043429,           0.0038328,           0.0080596,           0.0080596,           0.0080596
                 100,            0.040566,            0.010263,           0.0046682,             0.99008,                   1,               0.995,             0.65818,            0.024297,           0.0044997,           0.0038721,           0.0080398,           0.0080398,           0.0080398
                 101,             0.02876,            0.010962,           0.0046385,             0.99437,                   1,               0.995,             0.68716,            0.028968,           0.0044106,           0.0038011,             0.00802,             0.00802,             0.00802
                 102,            0.036667,            0.010505,            0.004811,             0.99548,                   1,               0.995,             0.65213,            0.024104,           0.0044163,           0.0038595,           0.0080002,           0.0080002,           0.0080002
                 103,            0.032951,           0.0094633,           0.0049387,             0.82282,                0.98,             0.98702,               0.645,            0.024758,           0.0044064,           0.0037916,           0.0079804,           0.0079804,           0.0079804
